ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	vlan	inner_vlan
1476748515.228239	CRvPvg2Tz7iYdjAcA9	155.19.62.83	9090	172.17.3.200	60550	tcp	-	0.001393	4166236413	1	SH	F	T	0	HaF	3	172	2	104	(empty)	361	-
1476748515.227836	Cc7xyZ3XsaPOfTRTc	172.17.3.200	9221	155.19.62.148	9290	tcp	http	0.002470	55	2158	SF	T	F	0	ShADTadfFF	13	794	7	2530	(empty)	365	-
1476748785.232714	C8FcjW1prlv8YqlqJ7	147.248.1.35	137	155.19.62.92	137	udp	dns	11.635690	300	0	S0	F	F	0	D	6	468	0	0	(empty)	361	-
1476748805.273825	CUYbTA172j1Zq3XrVi	155.19.59.2	42624	214.3.88.60	53	udp	dns	0.000762	98	212	SF	F	F	0	Dd	2	154	2	268	(empty)	351	-
1476748805.275081	CiwijPWxAGWdu454j	155.19.59.2	35078	214.3.88.60	53	udp	dns	0.000577	130	244	SF	F	F	0	Dd	2	186	2	300	(empty)	351	-
1476748805.276475	CeoPIE3Y5e7mP5xMd6	155.19.59.2	39243	214.3.88.60	53	udp	dns	0.000706	98	130	SF	F	F	0	Dd	2	154	2	186	(empty)	351	-
1476748810.275010	CRHNElTpBsWuGOp9l	172.17.3.200	5954	155.19.62.149	9490	tcp	-	0.002257	968692331	2158	RSTO	T	F	225	ShADadfR	9	586	4	1584	(empty)	162	-
1476748805.300851	Cce60I2jyJOEEs2QX5	155.19.59.2	34299	214.3.88.60	53	udp	dns	0.000638	98	212	SF	F	F	0	Dd	2	154	2	268	(empty)	10	-
1476748805.301776	CMFgWa4IfNAf1b3bda	155.19.59.2	51573	214.3.88.60	53	udp	dns	0.000719	130	244	SF	F	F	0	Dd	2	186	2	300	(empty)	10	-
1476748805.302696	C57XTb3INO2c1sABr	155.19.59.2	54930	214.3.88.60	53	udp	dns	0.000495	98	130	SF	F	F	0	Dd	2	154	2	186	(empty)	10	-
